zona,bloque,heridos_leves,heridos_moderados,heridos_graves
Z1,1,1423,446,160
Z2,1,316,98,27
Z3,1,560,190,70
Z4,1,148,43,13
Z5,1,1821,558,222
Z1,2,222,70,25
Z2,2,84,26,7
Z3,2,160,54,20
Z4,2,32,10,3
Z5,2,339,104,41
Z1,3,114,36,13
Z2,3,90,28,7
Z3,3,74,25,9
Z4,3,39,12,3
Z5,3,239,73,29
Z1,4,87,27,10
Z2,4,51,16,4
Z3,4,60,20,8
Z4,4,26,8,2
Z5,4,165,50,20
Z1,5,50,16,6
Z2,5,26,8,2
Z3,5,25,8,3
Z4,5,13,4,1
Z5,5,76,23,9
Z1,6,25,8,3
Z2,6,13,4,1
Z3,6,12,4,2
Z4,6,7,2,0
Z5,6,38,11,5
Z1,7,13,4,1
Z2,7,3,1,0
Z3,7,1,1,0
Z4,7,1,1,0
Z5,7,13,4,1
Z1,8,3,1,0
Z2,8,0,0,0
Z3,8,0,0,0
Z4,8,0,0,0
Z5,8,4,1,1
Z1,9,1,1,0
Z2,9,0,0,0
Z3,9,0,0,0
Z4,9,0,0,0
Z5,9,1,1,0
Z1,10,0,0,0
Z2,10,0,0,0
Z3,10,0,0,0
Z4,10,0,0,0
Z5,10,0,0,0
Z1,11,0,0,0
Z2,11,0,0,0
Z3,11,0,0,0
Z4,11,0,0,0
Z5,11,0,0,0
Z1,12,0,0,0
Z2,12,0,0,0
Z3,12,0,0,0
Z4,12,0,0,0
Z5,12,0,0,0
